docid,entityid,type
40,Large Language Models,Topic
40,Knowledge Graphs,Topic
40,Sub-Optimal Reasoning Paths,Topic
40,Complex Semantics,Topic
40,Training-Free Framework,Topic
40,Weighted Reasoning Paths,Topic
40,Final Answers,Topic
40,Datasets,Topic
40,State-Of-The-Art Method,Topic
41,Drug Discovery,Topic
41,Target Identification,Topic
41,Large Language Models,Topic
41,Retrieval-Augmented Generation,Topic
41,User Study,Topic
41,Protein-Protein Interactions,Topic
41,Grappi,Paper
42,Graph Retrieval-Augmented Generation,Topic
42,Naive Retrieval-Augmented Generation,Topic
42,Yuntong Hu,Author
42,Zhihan Lei,Author
42,Zheng Zhang,Author
42,Bo Pan,Author
42,Chen Ling,Author
42,Liang Zhao,Author
43,Trumorgpt,Topic
43,Infodemics,Topic
43,Health Domain,Topic
43,Trumors,Topic
43,Graphrag,Topic
43,Healthcare Datasets,Topic
44,Graph-Based Approaches And Functionalities In Retrieval-Augmented Generation: A Comprehensive Survey,Paper
44,Retrieval-Augmented Generation,Topic
44,Large Language Models,Topic
44,Hallucination Problem,Topic
44,Structured Knowledge,Topic
44,Graph Learning,Topic
44,Database Systems,Topic
44,Natural Language Processing,Topic
45,Trace,Topic
45,Retrieval-Augmented Generation,Topic
45,Jinyuan Fang,Author
45,Zaiqiao Meng,Author
45,Craig Macdonald,Author
45,Multi-Hop Question Answering,Topic
45,Knowledge Graph,Topic
45,Autoregressive Reasoning Chain Constructor,Topic
45,Kg Generator,Topic
45,Three Multi-Hop Qa Datasets,Topic
45,14.03% Performance Improvement,Topic
46,Hm-Rag,Topic
46,Pei Liu,Author
46,Xin Liu,Author
46,Ruoyu Yao,Author
46,Junming Liu,Author
46,Siyuan Meng,Author
46,Ding Wang,Author
46,Jun Ma,Author
46,Scienceqa,Topic
46,Crisismmd,Topic
47,Large Language Models,Topic
47,Knowledge Graph,Topic
47,Subgraphrag,Paper
47,Llama3.1-8B-Instruct,Author
47,Gpt-4O,Author
47,Webqsp,Topic
47,Cwq,Topic
48,Causalrag,Topic
48,Large Language Models,Topic
48,Retrieval-Augmented Generation,Topic
48,Nengbo Wang,Author
48,Xiaotian Han,Author
48,Jagdip Singh,Author
48,Jing Ma,Author
48,Vipin Chaudhary,Author
49,Large Language Models,Topic
49,Retrieval-Augmented Generation,Topic
49,Coggrag,Topic
49,Knowledge Graph Question Answering,Topic
49,Yao Cheng,Author
49,Yibo Zhao,Author
49,Jiapeng Zhu,Author
49,Yao Liu,Author
49,Xing Sun,Author
49,Xiang Li,Author
50,Adaptive Medical Graph-Rag,Topic
50,Large Language Models,Topic
50,Medqa,Topic
50,Medmcqa,Topic
50,Mohammad Reza Rezaei,Author
50,Reza Saadati Fard,Author
50,Jayson Parker,Author
50,Rahul G Krishnan,Author
50,Milad Lankarany,Author
51,Hypa-Rag,Topic
51,Large Language Models,Topic
51,Nyc Local Law 144,Topic
51,Rishi Kalra,Author
51,Zekun Wu,Author
51,Ayesha Gulley,Author
51,Airlie Hilliard,Author
51,Xin Guan,Author
51,Adriano Koshiyama,Author
51,Philip Treleaven,Author
52,Knowledge Graph-Extended Retrieval Augmented Generation,Paper
52,Large Language Models,Topic
52,Knowledge Graphs,Topic
52,Question Answering,Topic
52,Retrieval Augmented Generation,Topic
52,Metaqa Benchmark,Topic
52,In-Context Learning,Topic
52,Chain-Of-Thought Prompting,Topic
53,Retrieval-Augmented Generation,Topic
53,Large Language Models,Topic
53,Think-On-Graph 2.0,Paper
53,Knowledge Graphs,Topic
53,Gpt-3.5,Topic
53,Llama-2-13B,Topic
53,Knowledge-Intensive Datasets,Topic
54,Mixture-Of-Pageranks,Topic
54,Nicholas Alonso,Author
54,Beren Millidge,Author
54,Long-Context Llms,Topic
54,Rag,Topic
54,Pagerank,Topic
54,Mixpr,Topic
54,Sparse Matrices,Topic
54,Compute Efficiency,Topic
54,Benchmark Tasks,Topic
55,G-Retriever,Topic
55,Graphqa,Topic
56,Kg-Rag,Topic
56,Diego Sanmartin,Author
56,Knowledge Graph-Retrieval Augmented Generation,Topic
56,Chain Of Explorations,Topic
56,Complexwebquestions,Topic
57,Large Language Models (Llms),Topic
57,Retrieval-Augmented Generation (Rag),Topic
57,Small Language Models (Slms),Topic
57,Edge-Assisted And Collaborative Rag (Eaco-Rag),Topic
57,Jiaxing Li,Author
57,Chi Xu,Author
57,Lianchen Jia,Author
57,Feng Wang,Author
57,Cong Zhang,Author
57,Jiangchuan Liu,Author
58,Traditional Chinese Medicine,Topic
58,Opentcm,Paper
58,Graph-Based Retrieval-Augmented Generation,Topic
58,Chinese Medical Classics Database,Topic
58,Deepseek,Topic
58,Kimi,Topic
58,Gynecology,Topic
58,Ai Technologies,Topic
58,Knowledge Graph,Topic
58,Tcm Literature,Topic
58,Ingredient Knowledge Retrieval,Topic
58,Diagnostic Question-Answering,Topic
59,Frag,Topic
59,Zengyi Gao,Author
59,Yukun Cao,Author
59,Hairu Wang,Author
59,Ao Ke,Author
59,Yuan Feng,Author
59,Xike Xie,Author
59,S Kevin Zhou,Author
60,Retrieval Augmented Generation,Topic
60,Large Language Models,Topic
60,Hipporag,Topic
60,Proprag,Topic
60,Popqa,Topic
60,2Wiki,Topic
60,Hotpotqa,Topic
60,Musique,Topic
60,Jingjin Wang,Author
61,Hoprag,Topic
61,Hao Liu,Author
61,Zhengren Wang,Author
61,Xi Chen,Author
61,Zhiyu Li,Author
61,Feiyu Xiong,Author
61,Qinhan Yu,Author
61,Wentao Zhang,Author
62,Retrieval-And-Structuring,Topic
62,Large Language Models,Topic
62,Knowledge-Intensive Tasks,Topic
62,Pengcheng Jiang,Author
62,Lang Cao,Author
62,Ruike Zhu,Author
62,Minhao Jiang,Author
62,Yunyi Zhang,Author
62,Jimeng Sun,Author
62,Jiawei Han,Author
62,Retrieval-Augmented Generation,Topic
62,Knowledge Graphs,Topic
62,Reasoning Accuracy,Topic
62,Reasoning Robustness,Topic
62,Https://Github.Com/Pat-Jj/Ras,Paper
63,Weknow-Rag,Topic
63,Large Language Models,Topic
63,Artificial General Intelligence,Topic
63,Weijian Xie,Author
63,Xuefeng Liang,Author
63,Yuhui Liu,Author
63,Kaihua Ni,Author
63,Hong Cheng,Author
63,Zetian Hu,Author
64,Cot-Rag: Integrating Chain Of Thought And Retrieval-Augmented Generation To Enhance Reasoning In Large Language Models,Paper
64,Chain-Of-Thought Reasoning,Topic
64,Knowledge Graph-Driven Cot Generation,Topic
64,Learnable Knowledge Case-Aware Rag,Topic
64,Pseudo-Program Prompting Execution,Topic
65,Retrieval-Augmented Generation (Rag),Topic
65,Eraser4Rag,Topic
65,Yujing Wang,Author
65,Hainan Zhang,Author
65,Liang Pang,Author
65,Yongxin Tong,Author
65,Binghui Guo,Author
65,Hongwei Zheng,Author
65,Zhiming Zheng,Author
65,Privacy Erasure Task,Topic
65,Flan-T5,Topic
65,Ppo Algorithm,Topic
65,Qa Datasets,Topic
65,Gpt-4O,Topic
66,Graph-Based Retrieval-Augmented Generation (Rag),Topic
66,Subgcache,Topic
66,Qiuyu Zhu,Author
66,Liang Zhang,Author
66,Qianxiong Xu,Author
66,Cheng Long,Author
66,Jie Zhang,Author
67,Plan*Rag,Topic
67,Prakhar Verma,Author
67,Sukruta Prakash Midigeshi,Author
67,Gaurav Sinha,Author
67,Arno Solin,Author
67,Nagarajan Natarajan,Author
67,Amit Sharma,Author
68,Knowledge Graph-Guided Retrieval Augmented Generation,Paper
68,Retrieval-Augmented Generation,Topic
68,Large Language Models,Topic
68,Hotpotqa Dataset,Topic
69,A Study On The Implementation Method Of An Agent-Based Advanced Rag System Using Graph,Paper
69,Cheonsu Jeong,Author
69,Knowledge-Based Question-Answering Systems,Topic
69,Retrieval-Augmented Generation Models,Topic
69,Graph Technology,Topic
69,Langgraph,Topic
69,Generative Ai Services,Topic
69,Corporate Services,Topic
70,Know3-Rag,Topic
70,Xukai Liu,Author
70,Ye Liu,Author
70,Shiwen Wu,Author
70,Yanghai Zhang,Author
70,Yihao Yuan,Author
70,Kai Zhang,Author
70,Qi Liu,Author
70,Retrieval-Augmented Generation,Topic
70,Knowledge Graphs,Topic
70,Natural Language Generation,Topic
70,Hallucinations,Topic
70,Factual Reliability,Topic
70,Open-Domain Qa Benchmarks,Topic
71,Medrag,Paper
71,Retrieval-Augmented Generation,Topic
71,Electronic Health Records,Topic
71,Healthcare Copilot,Topic
71,Diagnostic Accuracy,Topic
71,Specificity,Topic
71,Heuristic-Based Rag Models,Topic
71,Diseases With Similar Manifestations,Topic
71,Knowledge Graph,Topic
71,Diagnosis And Treatment Recommendations,Topic
71,Manifestations,Topic
71,Four-Tier Hierarchical Diagnostic Kg,Topic
71,Ehr Database,Topic
71,Large Language Model,Topic
71,Decision Support,Topic
71,Personalized Medical Decision-Making,Topic
71,Public Dataset Ddxplus,Topic
71,Private Chronic Pain Diagnostic Dataset (Cpdd),Topic
71,Tan Tock Seng Hospital,Topic
71,Misdiagnosis Rates,Topic
71,State-Of-The-Art Models,Topic
72,Rulerag,Topic
72,Rulerag-Icl,Topic
72,Ruleqa,Topic
72,Zhongwu Chen,Author
72,Chengjin Xu,Author
72,Dingmin Wang,Author
72,Zhen Huang,Author
72,Yong Dou,Author
72,Xuhui Jiang,Author
72,Jian Guo,Author
73,Atomr,Topic
73,Blendqa,Topic
73,Amy Xin,Author
73,Jinxin Liu,Author
73,Zijun Yao,Author
73,Zhicheng Lee,Author
73,Shulin Cao,Author
73,Lei Hou,Author
73,Juanzi Li,Author
74,Ifc Data,Topic
74,Graph Retrieval-Augmented Generation,Topic
74,Sima Iranmanesh,Author
74,Hadeel Saadany,Author
74,Edlira Vakaj,Author
74,Gpt-4O,Topic
74,Llm-Assisted Graph-Rag Information Extraction From Ifc Data,Paper
75,Knowledge Management For Automobile Failure Analysis Using Graph Rag,Paper
75,Automobile Failure Analysis,Topic
76,Large Language Models,Topic
76,Retrieval-Augmented Generation,Topic
76,Pseudo-Knowledge Graph,Topic
76,Yuxin Yang,Author
76,Haoyang Wu,Author
76,Tao Wang,Author
76,Jia Yang,Author
76,Hao Ma,Author
76,Guojie Luo,Author
76,Open Compass,Topic
76,Multihop-Rag,Topic
77,Graph-Based Retrieval-Augmented Generation,Topic
78,Hierarchical Planning For Complex Tasks With Knowledge Graph-Rag And Symbolic Verification,Paper
78,Large Language Models,Topic
78,Robotic Planners,Topic
78,Hierarchical Planning,Topic
78,Retrieval-Augmented Generation,Topic
78,Neuro-Symbolic Approach,Topic
78,Knowledge Graph,Topic
78,Symbolic Validator,Topic
78,Baseline Methods,Topic
78,Llms,Topic
78,Complex Planning,Topic
78,Reasoning And Compositional Capabilities,Topic
79,A Pilot Empirical Study On When And How To Use Knowledge Graphs As Retrieval Augmented Generation,Paper
79,Knowledge Graphs,Topic
79,Retrieval Augmented Generation,Topic
79,Kg-Rag Methods,Topic
79,Kg-Rag,Topic
79,Pilot Empirical Study,Topic
79,Llms,Topic
80,Knowledge Graph Enhanced Retrieval-Augmented Generation For Failure Mode And Effects Analysis,Paper
81,Retrieval-Augmented Generation,Topic
81,Attributed Community-Based Hierarchical Rag,Paper
81,Large Language Models,Topic
81,Question-Answer Tasks,Topic
81,Graph Data,Topic
81,Semantic Information,Topic
81,Entities,Topic
81,Hierarchical Index Structure,Topic
81,Online Retrieval Method,Topic
81,Accuracy,Topic
81,Token Cost,Topic
82,Large Language Models (Llms),Topic
82,Hyper-Rag,Paper
83,Graph Rag-Tool Fusion,Topic
83,Toollinkos,Topic
83,Elias Lumer,Author
83,Pradeep Honaganahalli Basavaraju,Author
83,Myles Mason,Author
83,James A Burke,Author
83,Vamse Kumar Subbiah,Author
83,Toolsandbox,Topic
83,573 Fictional Tools,Topic
83,15 Industries,Topic
83,6.3 Tool Dependencies,Topic
83,Naive Rag,Topic
83,Vector Database,Topic
83,Get Stock Price Api,Topic
83,Stock Ticker Parameter,Topic
83,Get Stock Ticker Api,Topic
83,Os-Level Internet Connectivity Tools,Topic
84,Graph Retrieval Augmented Generation,Topic
84,Fast Think-On-Graph,Topic
84,Xujian Liang,Author
84,Zhaoquan Gu,Author
84,Knowledge Graph,Topic
84,Large-Scale Language Models,Topic
84,Community Detection,Topic
84,Community Pruning,Topic
84,Community-To-Text Methods,Topic
84,Experimental Results,Topic
85,Retrieval From Graph Data,Topic
85,Large Language Models,Topic
85,Graphrag System,Topic
85,Knowledge Graphs,Topic
85,Knowledge Base Question Answering,Topic
85,Langchain,Topic
85,Llamaindex,Topic
85,Wikidata,Topic
85,Freebase,Topic
85,Property Graph Views,Topic
85,Cypher,Topic
85,Cypherbench,Paper
86,Kg-Retriever,Topic
86,Large Language Models,Topic
86,Weijie Chen,Author
86,Ting Bai,Author
86,Jinbo Su,Author
86,Jian Luan,Author
86,Wei Liu,Author
86,Chuan Shi,Author
86,Knowledge Graph-Based Rag Framework,Topic
86,Hierarchical Knowledge Retriever,Topic
86,Hierarchical Index Graph,Topic
86,Knowledge Graph Layer,Topic
86,Collaborative Document Layer,Topic
86,Information Fragmentation Problem,Topic
86,Cross-Document Retrieval,Topic
86,Five Public Qa Datasets,Topic
87,Communitykg-Rag,Topic
87,Large Language Models,Topic
87,Retrieval-Augmented Generation,Topic
87,Knowledge Graphs,Topic
87,Fact-Checking,Topic
87,Rongching Chang,Author
87,Jiawei Zhang,Author
88,Retrieval-Augmented Generation,Topic
88,Large Language Models,Topic
88,External Knowledge,Topic
88,Hybrid Rag System,Topic
88,Knowledge Graphs,Topic
88,Text Documents,Topic
88,Llm Reasoning,Topic
88,Multi-Hop Reasoning,Topic
88,Multi-Entity Questions,Topic
88,Multi-Source Verification,Topic
88,Effective Graph Utilization,Topic
88,Hydra,Topic
88,Graph Topology,Topic
88,Document Semantics,Topic
88,Source Reliability,Topic
88,Deep Reasoning,Topic
88,Faithful Reasoning,Topic
88,Agent-Driven Exploration,Topic
88,Structured Retrieval,Topic
88,Unstructured Retrieval,Topic
88,Diversity Of Evidence,Topic
88,Precision Of Evidence,Topic
88,Tri-Factor Cross-Source Verification,Topic
88,Source Trustworthiness Assessment,Topic
88,Cross-Source Corroboration,Topic
88,Entity-Path Alignment,Topic
88,Topic Relevance,Topic
88,Cross-Modal Agreement,Topic
88,Graph Structure,Topic
88,Heterogeneous Sources,Topic
88,Efficient Exploration,Topic
88,Noise Pruning,Topic
